内容,评论时间,用户名,id,产品名
已经回购了好几次了！物美价廉有没有，第一次买是去年过年，报着试试的心态买的，收到货比想象的还好，瓶子特别可爱，这次买来同事聚会喝，商家送了酒具和开瓶器，非常贴心！！良心商家了 下次再买些别的新品尝尝，相信浙一家！,2020/7/26 12:58,5***女,14460073601,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
很漂亮的果酒，各种口味齐全非常好，也很好喝，酒味有一点，偏甜些，本人喜欢喝。易碎品，但包装很完整，也没有破损，还有保温箱，没冻。,2021/2/21 20:04,叶***2,15337842225,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
包装特别好，瓷瓶漂亮又上档次。六瓶酒六种口味，开了一瓶 品尝 后才来评价。入口既有米酒的甘甜又有水果的清香，回味不辣口无苦涩感。烫热品味入口更甜一些，酒味较淡；冰镇一下入口果香更浓，酒香更盛。本身只有九度，不上头不伤胃，非常棒。,2020/11/5 11:03,****0,14845829942,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
我的妈，颜值好高，包装的也很用心，还送了酒具，六种口味，爱了爱了,2021/2/6 19:01,s***e,15299921708,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
还没喝呢，不知道味道怎么样，包装很好，快递小哥也很给力。,2021/1/7 18:39,l***n,15163934475,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
买酒，老板送了杯子，还送了开瓶器，想的真齐全。一箱有六种口味，瓶子也很漂亮，双十一买的，优惠了一点比平时，在加上满300-40就更优惠了，喝完还会回购的。对了，包装也是特别好。很用心的包装。老板生意兴隆。,2020/11/18 11:55,****宝,14925171107,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
喜欢送的酒具，和我家餐具是一套的，太有缘分了，爱爱爱了，酒也错，正适合没酒量的人喝。,2021/1/14 22:13,宋***-,15203189851,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，好评！包装很好，颜值不错东西不错，还有优惠，可以放心省钱购买，不要犹豫了,2020/11/11 23:52,p***y,14883604908,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
给妹妹买的，她好喜欢哦！酒瓶很漂亮！送的小酒具也漂亮！送货非常快！包装也很好！酒精度不高，有花果香。天冷的时候喝点，暖和舒服！,2020/12/22 14:24,****3,15081194830,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
这家酒度数不高，口感很好，不同口味都各有特色。目前尝了桂花和蓝莓味的。都很好喝～,2020/11/26 9:26,h***n,14963105253,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
不错，味道好极了，，,2021/6/2 17:25,****1,15750487768,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
商品很满意，快递小哥很优秀，服务态度很好,2021/6/1 23:22,****e,15747206293,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
好喝,2021/5/30 20:27,青***儿,15737777271,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
还行 朋友喝着是那回事,2021/5/30 0:05,h***q,15734741738,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
很满意的一次购物。很好喝 很喜欢。送的杯子也很好看。,2021/5/24 14:55,曾***增,15712720559,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
一开始没仔细看，以为是果酒下单了，后来到了一看，是糯米酒调的，只能说，糯米酒不值这个价，永江11度的白糯米酒750ml才12块钱，那瓶桂花的我常了，就和我用白糯米酒煮桂花一个味。还不如我在超市20来块钱瓶买的青梅跟葡萄发酵的果酒，量少，但是值这个价，这个酒，只能叫&ldquo;酒味饮料&rdquo;，你说是酒，都**。,2021/5/23 21:32,铭***剑,15710200472,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
总体不错，喝了四瓶，蓝莓最好喝，荔枝不咋地，性价比算高的了，商家人也好，会再买,2021/5/22 2:47,谢***栓,15702594600,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
口感挺好的，还会再买的,2021/5/21 21:02,****_,15701875171,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
酒完好，六种花果，应该是不差的，送了酒具。,2021/5/21 7:30,马***流,15698774216,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
看着不错，喝好再来,2021/5/19 19:15,爱***底,15693171735,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
我首先是被他的外观颜值所吸引的，出乎意料的是它的味道也不错，口感纯正，有果香味，有6种口味，味道香甜，会继续光顾！,2021/5/18 9:54,渣***姐,15686519275,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
非常漂亮口感也很好??,2021/5/17 12:28,管***8,15682833483,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
口感很不错，家人朋友都喜欢,2021/5/15 11:17,吉***平,15674633476,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
还行，性价比高,2021/5/15 9:45,****g,15674253077,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
很好喝 很好看，甜甜的,2021/5/14 22:34,****9,15673237141,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
口感很棒，分量也很足。我很喜欢。,2021/5/13 19:07,****8,15668634166,送酒具浙一家花果酒礼盒500ml*6瓶 桂花酒桃花醉桃花酒桃花酿青梅酒柚子酒荔枝酒蓝莓酒女士低度
