,create_time,text
0,1619686492,@♝XYC 在下对王之王对穿肠
1,1619686491,@叉叉。 [看]
2,1619686401,@笑如春风沐 @趁黑摸条虾 @Y. @百事都可乐
3,1619686359,@可爱的hero 你粘了几项
4,1619686346,高不成，低不就，堂堂男儿，罢了罢了
5,1619686330,@小张要吃饱饱的！！ 我他妈笑死了
6,1619686324,@余味. @考不上初中不换名
7,1619686254,@小甜 可笑可笑[看]
8,1619686243,@眸中星闪闪 这绝对是在内涵你，哈哈哈哈
9,1619686214,@Zero骑狗杰. [看]哈哈哈哈哈说的是你
10,1619686192,左画龙 右画虎 往往风流 难找难找
11,1619686095,一没钱，二没颜，区区爱情无缘无缘
12,1619686056,@伤心市民小景@勇勇185 你吧[看]
13,1619686047,@Jenniferrr @シ☆ve黑羽 @酒醉的蝴蝶
14,1619686032,游戏里，狼不行，虎不啸，小小EZ，可笑可笑[不失礼貌的微笑]
15,1619686024,个不高，人不帅，区区一八，难搞难搞[看]
16,1619685975,@原来是迪迪啊 让你看看 没说你
17,1619685945,@昵称已重置 看评论
18,1619685930,站着喝，躺着吐，横七竖八，难搞难搞
19,1619685911,早上好，晚上妙，嘴角一翘，睡觉睡觉
20,1619685859,@要粑粑m @阿萨千万
21,1619685806,@ıllıllı @02 @你找她算帐呗 @阿难 @远行客. 针不戳
22,1619685774,想不出，问不到，小小对联，难搞难搞
23,1619685772,上有老，下有小。努力活着，难搞难搞
24,1619685770,@M– 你
25,1619685742,@嗝～ @栗究 @转身遇笕你 @满目星河璀璨 手一点，嘴一笑，小小评论，好笑好笑
26,1619685686,@小万同学吖 @依旧.♡ [黑脸]笑喷
27,1619685668,@老余不吃香菜
28,1619685481,@1 嗯
29,1619685460,@小新爱美女... 这说的不就是你吗[可怜]
30,1619685452,不多金，也不帅，小小少年，共勉共勉
31,1619685327,人没钱，还没房，看见美女，防不胜防[看][看][看]
32,1619685322,没点赞，没评论，小小阿伟，还推还推[泣不成声]
33,1619685319,@旧巷听风＆ @你的程某 @吾用一生渡一劫 @叶鲸落丶 @余生还在.
34,1619685288,上有老 下有小 茫茫人生 难搞难搞
35,1619685190,龙不吟，虎不啸，小小马超，可笑可笑
36,1619685099,班不上，学不读，这年轻人，全靠父母。
37,1619685096,眼不尖，人不闲。小小貌见，肤浅肤浅。@陌陌
38,1619685081,@上课从来不睡觉
39,1619685045,@木易 @青禾 @风再起时 @张  (小号) @幸会
40,1619686214,@Zero骑狗杰. [看]哈哈哈哈哈说的是你
41,1619686192,左画龙 右画虎 往往风流 难找难找
42,1619686095,一没钱，二没颜，区区爱情无缘无缘
43,1619686056,@伤心市民小景@勇勇185 你吧[看]
44,1619686047,@Jenniferrr @シ☆ve黑羽 @酒醉的蝴蝶
45,1619686032,游戏里，狼不行，虎不啸，小小EZ，可笑可笑[不失礼貌的微笑]
46,1619686024,个不高，人不帅，区区一八，难搞难搞[看]
47,1619685975,@原来是迪迪啊 让你看看 没说你
48,1619685945,@昵称已重置 看评论
49,1619685930,站着喝，躺着吐，横七竖八，难搞难搞
50,1619685911,早上好，晚上妙，嘴角一翘，睡觉睡觉
51,1619685859,@要粑粑m @阿萨千万
52,1619685806,@ıllıllı @02 @你找她算帐呗 @阿难 @远行客. 针不戳
53,1619685774,想不出，问不到，小小对联，难搞难搞
54,1619685772,上有老，下有小。努力活着，难搞难搞
